Number_Nodes	Number_Edges	Partitions
50	12657	 16
49	10592	 16
50	10397	 16
47	11041	 16
47	12924	 16
50	13559	 16
50	13758	 16
47	14349	 16
47	10330	 16
47	11653	 16
47	9417	 16
47	9771	 16
50	12218	 16
50	11281	 16
50	11101	 16
49	12965	 16
25	6382	 32
24	5727	 32
25	7037	 32
25	7807	 32
25	5762	 32
25	5359	 32
25	4136	 32
25	7205	 32
25	7160	 32
25	6360	 32
25	4978	 32
23	6837	 32
23	5895	 32
23	5813	 32
23	6454	 32
24	5030	 32
25	7144	 32
23	5683	 32
25	6452	 32
23	6240	 32
23	4707	 32
25	6108	 32
23	4831	 32
24	5461	 32
25	4994	 32
25	7135	 32
24	5488	 32
25	7611	 32
23	4560	 32
24	5196	 32
25	6496	 32
25	8069	 32
400	50181	 2
377	50160	 2
13	2616	 64
13	2740	 64
13	4455	 64
14	4578	 64
14	2920	 64
14	3941	 64
13	2904	 64
13	3809	 64
13	2406	 64
14	2710	 64
13	2635	 64
14	4016	 64
13	4451	 64
14	3213	 64
14	3576	 64
14	5121	 64
13	2778	 64
14	3673	 64
13	2615	 64
14	3008	 64
13	3840	 64
13	3153	 64
13	4128	 64
13	2975	 64
14	3065	 64
13	3682	 64
14	3902	 64
13	2701	 64
13	3266	 64
13	2580	 64
13	3396	 64
13	2691	 64
13	3636	 64
14	3954	 64
14	3472	 64
13	3307	 64
13	3396	 64
13	3705	 64
13	2976	 64
13	4038	 64
14	3844	 64
13	3108	 64
14	4386	 64
13	2846	 64
14	3514	 64
13	2272	 64
13	2641	 64
14	2344	 64
13	2779	 64
13	3823	 64
14	3354	 64
13	3819	 64
14	4974	 64
13	2425	 64
13	3626	 64
14	3817	 64
14	3455	 64
14	3798	 64
189	36591	 4
188	38808	 4
200	36840	 4
200	38320	 4
100	24049	 8
100	21086	 8
100	23810	 8
95	21294	 8
94	23345	 8
94	20946	 8
94	19364	 8
100	21427	 8
86	17930	 256
86	21442	 256
87	18418	 256
86	24020	 256
87	16802	 256
86	20494	 256
87	20203	 256
86	19460	 256
86	19892	 256
60	16417	 128
60	13483	 128
59	16753	 128
60	14262	 128
59	12281	 128
60	13827	 128
59	15255	 128
60	13255	 128
60	12489	 128
60	12605	 128
60	15200	 128
60	14436	 128
60	14976	 128
